Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months"
1834,303,469,1152,88,195,464038,96829,185615,38946,8448,2596
1434,179,638,1036,95,137,392167,80990,156867,32882,7125,2192
952,31,374,663,18,24,130084,25793,52034,10867,2344,724
696,75,321,509,33,54,270519,57077,108208,22728,4937,1515
2440,236,957,1699,86,161,933913,171359,373565,77489,16579,5166
937,50,367,652,27,39,114922,25583,45969,9706,2121,647
792,79,396,594,28,54,294267,55594,117707,24477,5253,1632
990,112,498,744,43,77,402953,88095,161181,33972,7409,2265
1224,135,362,793,47,91,505727,100544,202291,42256,9118,2817
1977,339,631,1304,115,227,679309,136432,271724,56812,12272,3787
2217,282,798,1507,41,161,743619,153533,297448,62349,13509,4157
609,80,287,448,40,60,159671,28559,63868,13220,2821,881
3819,175,1057,2438,98,137,1048868,200075,419547,87317,18757,5821
1145,120,536,840,44,82,418633,76061,167453,34706,7418,2314
2426,211,929,1677,61,136,825408,183199,330163,69693,15226,4646
2855,323,751,1803,115,219,1196337,245503,478535,100251,21706,6683
1546,85,504,1025,30,57,240419,46076,96168,20023,4303,1335
603,64,253,428,25,45,229268,51364,91707,19376,4238,1292
1041,172,402,721,89,130,385733,67856,154293,31894,6795,2126
2623,219,795,1709,73,146,1114023,238126,445609,93714,20385,6248
707,65,399,553,32,49,206176,37957,82470,17112,3662,1141
14062,1790,5130,9596,652,1221,5278689,769270,2111476,430413,90110,28694
1188,160,329,758,45,102,351228,112737,140491,30977,7107,2065
1561,162,382,971,64,113,276340,63341,110536,23409,5134,1561
1804,248,569,1187,59,154,506155,100153,202462,42274,9117,2818
492,44,269,381,24,34,169856,28437,67942,13990,2966,933
7441,1081,3350,5396,403,742,2249394,412838,899758,186642,39933,12443
1414,147,538,976,64,106,279218,53012,111687,23235,4989,1549
4425,406,1964,3194,149,277,792834,152349,317134,66045,14198,4403
1063,115,423,743,57,86,256100,58414,102440,21683,4752,1446
4947,618,1625,3286,183,400,1340118,254567,536047,111522,23946,7435
956,94,342,649,39,66,235522,51395,94209,19853,4329,1324
741,44,426,584,25,35,170816,45254,68326,14702,3283,980
1376,149,662,1019,53,101,516812,90546,206725,42719,9097,2848
975,76,403,689,23,50,185969,38518,74388,15597,3381,1040
1045,124,507,776,71,97,282798,63826,113119,23918,5236,1595
1462,139,681,1072,21,80,520196,104986,208078,43524,9407,2902
6736,795,2646,4691,286,541,1950902,362250,780361,162034,34710,10802
923,138,412,667,42,90,334281,73199,133712,28187,6148,1879
1485,185,668,1077,75,130,375852,93948,150341,32135,7123,2142
3193,299,1198,2195,74,186,1108058,250729,443223,93740,20526,6249
650,78,286,468,44,61,279590,60747,111836,23557,5134,1570
457,34,193,325,14,24,199535,31824,79814,16374,3456,1092
1716,188,700,1208,87,137,477559,85840,191024,39556,8445,2637
830,81,424,627,44,62,210604,37934,84242,17447,3726,1163
1046,103,382,714,57,80,317384,73118,126954,26900,5903,1793
1081,98,468,774,40,69,528715,112509,211486,44458,9665,2964
1444,240,632,1038,115,177,561636,102892,224654,46594,9967,3106
4165,761,1088,2626,162,462,1704994,321669,681998,141803,30426,9454
733,76,346,539,32,54,152745,28422,61098,12689,2719,846
939,105,333,636,56,80,320499,77792,128200,27314,6032,1821
5045,579,2073,3559,172,375,1192842,231348,477137,99447,21400,6630
2047,116,1016,1532,33,75,459005,93970,183602,38455,8324,2564
4854,520,2174,3514,177,348,1212482,258840,484993,101985,22180,6799
224,45,98,161,21,33,161316,33367,64526,13528,2932,902
19492,2415,6594,13043,942,1679,7874162,1268093,3149665,646624,136592,43108
4162,506,1700,2931,165,335,1385741,271762,554296,115643,24915,7710
1811,298,922,1367,85,191,546461,91980,218584,45026,9551,3002
1174,55,309,741,20,37,217344,49862,86938,18413,4038,1228
2295,240,865,1580,57,149,568689,111226,227476,47447,10220,3163
2443,267,838,1640,121,194,886932,165619,354773,73700,15797,4913
1603,137,582,1092,53,95,714679,143594,285872,59772,12912,3985
14834,1427,3059,8946,616,1021,4173437,725342,1669375,344744,73357,22983
601,47,276,438,18,32,159278,39415,63711,13603,3011,907
706,68,281,494,34,51,295582,70770,118233,25154,5546,1677
470,18,239,354,6,12,100326,26837,40130,8644,1933,576
1938,350,849,1394,133,241,486579,74033,194632,39793,8363,2653
855,72,369,612,25,49,351154,95565,140462,30319,6796,2021
2902,334,1122,2012,137,236,1031510,185204,412604,85433,18238,5696
5054,543,2045,3549,139,341,1366198,246308,546479,113191,24174,7546
1117,57,445,781,19,38,148060,32340,59224,12481,2722,832
2091,291,648,1370,108,200,1135619,212738,454248,94391,20238,6293
857,111,406,631,44,78,366346,76217,146538,30738,6666,2049
9139,981,2952,6045,280,630,2741481,526396,1096592,228356,49088,15224
5263,818,2207,3735,323,570,2079205,380644,831682,172484,36894,11499
6954,612,2458,4706,238,425,2570355,478271,1028142,213521,45749,14235
916,19,384,650,9,14,112434,19303,44974,9279,1972,619
1002,79,455,729,39,59,315091,74302,126036,26770,5891,1785
2066,282,695,1380,101,191,648957,135227,259583,54459,11812,3631
1478,118,467,972,44,81,680976,119559,272390,56297,11991,3753
1064,102,561,813,36,69,204787,41070,81915,17125,3698,1142
1225,131,461,843,61,96,360863,68023,144345,30010,6439,2001
1555,155,499,1027,40,97,329288,68760,131715,27639,5996,1843
1862,147,589,1226,54,101,795142,157620,318057,66420,14327,4428
377,36,129,253,8,22,128803,27663,51521,10840,2359,723
1500,105,642,1071,42,74,239843,45234,95937,19947,4280,1330
501,57,253,377,40,49,209507,45654,83803,17657,3849,1177
456,70,152,304,41,56,218503,53625,87401,18644,4123,1243
7810,1118,2987,5398,317,717,2282662,410987,913065,189100,40380,12607
447,46,262,355,25,35,191863,39899,76745,16098,3491,1073
2177,213,616,1397,126,170,845392,153380,338157,70078,14976,4672
2825,286,610,1717,118,202,1177072,244084,470829,98733,21403,6582
2491,313,869,1680,77,195,554325,92037,221730,45626,9666,3042
3636,403,1033,2334,195,299,1233539,198090,493416,101276,21388,6752
905,145,251,578,45,95,447424,89385,178970,37401,8074,2493
2543,276,782,1663,82,179,1023500,174191,409400,84405,17923,5627
902,150,289,596,51,100,449792,185054,179917,41216,9835,2748
1014,101,543,779,38,70,283753,43182,113501,23206,4877,1547
750,110,371,561,42,76,356000,51907,142400,29028,6078,1935
5541,582,2447,3994,225,404,1491485,279037,596594,123956,26574,8264
558,84,173,365,25,54,320156,71021,128062,27031,5905,1802
4017,449,1742,2879,184,317,1010995,195073,404398,84248,18120,5617
5813,690,2236,4024,293,491,2662559,456181,1065024,219689,46681,14646
10004,1284,3292,6648,448,866,3130935,714153,1252374,265089,58101,17673
872,158,359,616,63,110,338880,108815,135552,29890,6858,1993
390,36,175,282,14,25,112038,24900,44815,9461,2067,631
835,29,344,589,15,22,116854,21977,46742,9716,2084,648
